,uuid,latitude,longitude,interactions,street,reliability,start_time,end_time,share,cum_share,geometry,hex9,hex10,date,alerts
21,32b08a07-ff87-3a12-ad53-85e152b6e32c,-12.103895,-77.031827,12,Av. Santa Cruz,10,2019-04-11 18:02:00.000,2019-04-11 19:25:00.000,0.011000000000000001,0.3253895508707608,POINT (-77.03182700000001 -12.103895),898e62c0bbbffff,8a8e62c0bb8ffff,2019-04-11 12:00:00,1
22,e1a17dca-949d-3cc3-9352-b2e5624b62f6,-12.137231,-77.028212,11,Acceso Vía Expresa Costa Verde > Callao,10,2018-10-25 15:50:00.000,2018-10-25 16:24:00.000,0.0101,0.3354720439963336,POINT (-77.028212 -12.137231),898e62c52cbffff,8a8e62c52cf7fff,2018-10-25 12:00:00,1
23,d605f82b-1498-3976-8c6c-93a659f3ae74,-12.111856,-77.052531,11,Vía Expresa Costa Verde,10,2019-01-19 06:07:00.000,2019-01-19 06:27:00.000,0.0101,0.3455545371219065,POINT (-77.052531 -12.111856),898e62ce4b3ffff,8a8e62ce4b1ffff,2019-01-19 12:00:00,1
24,12bf081e-6bfd-3380-b340-a128c9d1b6bc,-12.133101,-77.030423,11,Vía Expresa Costa Verde,10,2019-02-02 22:41:00.000,2019-02-02 23:04:00.000,0.0101,0.3556370302474794,POINT (-77.030423 -12.133101),898e62c52dbffff,8a8e62c52d97fff,2019-02-02 12:00:00,1
25,aa350723-0a9c-36c7-a6c7-a09a726d6ca5,-12.130059,-77.03520999999999,11,Vía Expresa Costa Verde,10,2019-04-09 13:32:00.000,2019-04-09 13:52:00.000,0.0101,0.36571952337305225,POINT (-77.03520999999999 -12.130059),898e62ce5abffff,8a8e62ce5a87fff,2019-04-09 12:00:00,1
26,444e5872-b791-3286-990c-baa25ee7a8a1,-12.126257,-77.017876,11,Av. Alfredo Benavides,10,2019-08-12 03:22:00.000,2019-08-12 04:38:00.000,0.0101,0.3758020164986251,POINT (-77.017876 -12.126257),898e62c562bffff,8a8e62c562b7fff,2019-08-12 12:00:00,1
27,4b9b07c7-9f26-3f1c-9132-c65a44c1981a,-12.105285,-77.03294,11,Av. Santa Cruz,10,2019-08-21 23:31:00.000,2019-08-22 00:20:00.000,0.0101,0.385884509624198,POINT (-77.03294 -12.105285),898e62c0babffff,8a8e62c0ba87fff,2019-08-21 12:00:00,1
28,27ca0ee5-b732-3aca-8be5-85a4591c385f,-12.122438,-77.020098,10,Av. Ricardo Palma,10,2018-11-27 22:32:00.000,2018-11-27 23:28:00.000,0.0092,0.3950504124656279,POINT (-77.020098 -12.122438),898e62c560fffff,8a8e62c560d7fff,2018-11-27 12:00:00,1
29,2b52e3c4-5adf-3933-8b5b-93b3cbe292a7,-12.110610000000001,-77.05392900000001,10,Vía Expresa Costa Verde,10,2019-01-24 23:37:00.000,2019-01-24 23:57:00.000,0.0092,0.40421631530705776,POINT (-77.05392900000001 -12.11061),898e62ce4bbffff,8a8e62ce4ba7fff,2019-01-24 12:00:00,1
30,f4fd8a05-f551-3cee-a499-4ebef6ca57bc,-12.110577000000001,-77.05112700000001,10,Av. Augusto Pérez Araníbar,10,2019-01-28 01:37:00.000,2019-01-28 02:30:00.000,0.0092,0.4133822181484876,POINT (-77.05112700000001 -12.110577),898e62ce4b3ffff,8a8e62ce4b07fff,2019-01-28 12:00:00,1
31,f71af671-f1d0-3e19-a5ea-51cba6f21b8d,-12.132338,-77.031336,10,Vía Expresa Costa Verde,10,2019-02-09 07:23:00.000,2019-02-09 08:17:00.000,0.0092,0.4225481209899175,POINT (-77.031336 -12.132338),898e62ce5afffff,8a8e62ce5acffff,2019-02-09 12:00:00,1
32,e9ad67c0-9e01-33f0-b3d2-f157b960b25c,-12.126317,-77.01826899999999,10,Av. Alfredo Benavides,10,2019-05-09 23:25:00.000,2019-05-10 00:19:00.000,0.0092,0.4317140238313474,POINT (-77.01826899999999 -12.126317),898e62c5677ffff,8a8e62c562b7fff,2019-05-09 12:00:00,1
33,b942975e-32af-3942-98b5-199fa7fc8641,-12.116648,-77.049727,10,Vía Expresa Costa Verde,10,2019-08-05 23:53:00.000,2019-08-06 00:26:00.000,0.0092,0.4408799266727773,POINT (-77.049727 -12.116648),898e62ce4a7ffff,8a8e62ce4a57fff,2019-08-05 12:00:00,1
34,878fff7a-1daf-36ad-99bc-c230a63fee03,-12.114822,-77.028521,9,Av. Petit Thouars,10,2019-05-08 14:40:00.000,2019-05-08 15:00:00.000,0.0082,0.44912923923006415,POINT (-77.028521 -12.114822),898e62c5653ffff,8a8e62c56537fff,2019-05-08 12:00:00,1
35,5addcbd6-f442-3744-893c-eb0891b89cd8,-12.105651,-77.033242,9,Av. Santa Cruz,10,2019-06-28 22:02:00.000,2019-06-28 23:00:00.000,0.0082,0.457378551787351,POINT (-77.033242 -12.105651),898e62c0babffff,8a8e62c0ba87fff,2019-06-28 12:00:00,1
36,c07f6dff-bb4b-38ee-9a05-ce03ad3c5dd5,-12.12495,-77.024499,9,Av. Paseo de la República,10,2019-08-11 20:11:00.000,2019-08-11 20:50:00.000,0.0082,0.4656278643446379,POINT (-77.02449900000001 -12.12495),898e62c567bffff,8a8e62c567affff,2019-08-11 12:00:00,1
37,124eedbb-eb0e-3eb7-8221-b4d56471c10b,-12.126319,-77.01825600000001,9,Av. Alfredo Benavides,10,2019-08-12 02:26:00.000,2019-08-12 03:10:00.000,0.0082,0.4738771769019248,POINT (-77.01825600000001 -12.126319),898e62c5677ffff,8a8e62c562b7fff,2019-08-12 12:00:00,1
38,13e621fe-4383-3ab5-938c-a5c831f93333,-12.122383000000001,-77.02017,8,Av. Ricardo Palma,10,2018-11-13 16:13:00.000,2018-11-13 16:40:00.000,0.0073,0.4812098991750687,POINT (-77.02016999999999 -12.122383),898e62c560fffff,8a8e62c560d7fff,2018-11-13 12:00:00,1
39,eb7cbed6-7839-34bc-ae61-e16d26c0135e,-12.110365,-77.05121899999999,8,Av. Augusto Pérez Araníbar,10,2019-01-28 01:13:00.000,2019-01-28 01:53:00.000,0.0073,0.4885426214482126,POINT (-77.05121899999999 -12.110365),898e62ce4b3ffff,8a8e62ce4b07fff,2019-01-28 12:00:00,1
40,8008fe01-a207-3653-bdd8-6aa26d6c5881,-12.132356,-77.031308,8,Vía Expresa Costa Verde,10,2019-02-09 08:34:00.000,2019-02-09 09:34:00.000,0.0073,0.4958753437213566,POINT (-77.031308 -12.132356),898e62ce5afffff,8a8e62ce5acffff,2019-02-09 12:00:00,1
41,5e5543e7-6b0d-3249-bb99-c888f0bfa998,-12.129788000000001,-77.02226999999999,8,Av. 28 de Julio,10,2019-02-20 22:20:00.000,2019-02-20 22:52:00.000,0.0073,0.5032080659945004,POINT (-77.02226999999999 -12.129788),898e62c566fffff,8a8e62c566e7fff,2019-02-20 12:00:00,1
42,091e114a-c096-35ff-b044-e077172c7549,-12.123206,-77.01838000000001,8,Av. Ricardo Palma,10,2019-03-19 15:59:00.000,2019-03-19 16:24:00.000,0.0073,0.5105407882676444,POINT (-77.01838000000001 -12.123206),898e62c560fffff,8a8e62c560cffff,2019-03-19 12:00:00,1
43,cd47e124-22c2-3117-a83f-50e03c8458b1,-12.120738000000001,-77.018788,8,Av. Monseñor Roca y Boloña,10,2019-03-26 18:06:00.000,2019-03-26 18:39:00.000,0.0073,0.5178735105407882,POINT (-77.018788 -12.120738),898e62c560fffff,8a8e62c560e7fff,2019-03-26 12:00:00,1
44,2a9e616c-e131-3aae-9015-4d2e3f57aace,-12.122334,-77.005916,7,Av. Manuel Villarán,10,2018-10-17 22:35:00.000,2018-10-17 22:57:00.000,0.0064,0.5242896425297892,POINT (-77.005916 -12.122334),898e62c50d3ffff,8a8e62c50d17fff,2018-10-17 12:00:00,1
45,485b0343-d3d5-38e5-a24d-96fc5b62bf1a,-12.134614,-77.02356999999999,7,Calle Parque Armendáriz,10,2018-11-07 13:45:00.000,2018-11-07 13:59:00.000,0.0064,0.5307057745187901,POINT (-77.02356999999999 -12.134614),898e62c52d7ffff,8a8e62c52d5ffff,2018-11-07 12:00:00,1
46,4d086ef8-8ec0-30d1-b6c9-44280beed1f8,-12.123285000000001,-77.015039,7,Av. Ricardo Palma,10,2019-01-12 20:06:00.000,2019-01-12 20:46:00.000,0.0064,0.537121906507791,POINT (-77.015039 -12.123285),898e62c5633ffff,8a8e62c56317fff,2019-01-12 12:00:00,1
47,ce1f884b-6869-3cf8-81c4-05ee92207b73,-12.132774000000001,-77.03075,7,Vía Expresa Costa Verde,10,2019-02-09 04:05:00.000,2019-02-09 04:39:00.000,0.0064,0.5435380384967919,POINT (-77.03075 -12.132774),898e62c52dbffff,8a8e62c52db7fff,2019-02-09 12:00:00,1
48,16fb2e11-173b-3190-b3c1-1633d80fb152,-12.126571,-77.035878,7,Bolognesi,10,2019-03-06 16:35:00.000,2019-03-06 17:19:00.000,0.0064,0.5499541704857929,POINT (-77.035878 -12.126571),898e62ce5bbffff,8a8e62ce5b97fff,2019-03-06 12:00:00,1
49,910311ab-e559-3722-a670-0c87e0c9704b,-12.127594,-77.034474,7,Malecón 28 de Julio,10,2019-03-09 03:38:00.000,2019-03-09 04:07:00.000,0.0064,0.5563703024747938,POINT (-77.034474 -12.127594),898e62ce5bbffff,8a8e62ce5aa7fff,2019-03-09 12:00:00,1
50,c675afc2-77ce-3121-9c95-dea3900a1d6d,-12.121825,-77.020125,7,Av. Monseñor Roca y Boloña,10,2019-05-11 22:12:00.000,2019-05-11 22:41:00.000,0.0064,0.5627864344637947,POINT (-77.02012499999999 -12.121825),898e62c560fffff,8a8e62c560f7fff,2019-05-11 12:00:00,1
51,02d0b581-6a2a-38ae-b43e-f10b2823df6d,-12.122771,-77.043217,7,Vía Expresa Costa Verde,10,2019-05-25 14:48:00.000,2019-05-25 15:14:00.000,0.0064,0.5692025664527957,POINT (-77.043217 -12.122771),898e62ce5c7ffff,8a8e62ce5c67fff,2019-05-25 12:00:00,1
52,2eaf6d8d-947c-3d51-ae7f-a789b67daf33,-12.123312,-77.018681,7,Av. Ricardo Palma,10,2019-07-13 18:00:00.000,2019-07-13 18:41:00.000,0.0064,0.5756186984417965,POINT (-77.018681 -12.123312),898e62c560fffff,8a8e62c560cffff,2019-07-13 12:00:00,1
53,fd0e8f71-d4c2-3b7f-a1cb-2a268a4924e5,-12.125306,-77.024049,7,Av. Alfredo Benavides,10,2019-08-16 17:24:00.000,2019-08-16 18:05:00.000,0.0064,0.5820348304307974,POINT (-77.02404900000001 -12.125306),898e62c567bffff,8a8e62c567affff,2019-08-16 12:00:00,1
